bd,wl,umax,,
2.1,0.5,9.566917337,9.531431,0%
2.1,0.6,11.48935493,10.95651,5%
2.1,0.7,13.4020216,12.477837,7%
2.2,0.1,1.885451473,5.210488,-176%
2.2,0.2,3.783739595,6.14102,-62%
2.2,0.3,5.693750261,7.1678,-26%
2.2,0.4,7.611827919,8.290828,-9%
2.2,0.5,9.533640162,9.510104,0%
2.2,0.6,11.45333512,10.825628,5%
2.2,0.7,13.36542779,12.2374,8%
2.3,0.1,1.879312155,5.639873,-200%
2.3,0.2,3.77072685,6.46085,-71%
2.3,0.3,5.673762682,7.378075,-30%
2.3,0.4,7.585492152,8.391548,-11%
2.3,0.5,9.502248661,9.501269,0%
2.3,0.6,11.41880397,10.707238,6%
2.3,0.7,13.3295955,12.009455,10%
2.4,0.1,1.87391607,6.08175,-225%
2.4,0.2,3.759122472,6.793172,-81%
2.4,0.3,5.655654061,7.600842,-34%
2.4,0.4,7.561263353,8.50476,-12%
2.4,0.5,9.472827482,9.504926,0%
2.4,0.6,11.38568228,10.60134,7%
2.4,0.7,13.29458957,11.794002,11%
2.5,0.1,1.869145723,6.536119,-250%
2.5,0.2,3.748813449,7.137986,-90%
2.5,0.3,5.639308339,7.836101,-39%
2.5,0.4,7.53904342,8.630464,-14%
2.5,0.5,9.445353674,9.521075,-1%
2.5,0.6,11.35439662,10.507934,7%
2.5,0.7,13.26090273,11.591041,13%
2.6,0.1,1.864906156,7.00298,-276%
2.6,0.2,3.739602007,7.495292,-100%
2.6,0.3,5.624588019,8.083852,-44%
2.6,0.4,7.518709264,8.76866,-17%
2.6,0.5,9.419884738,9.549716,-1%
2.6,0.6,11.32479936,10.42702,8%
2.6,0.7,13.22853089,11.400572,14%
2.7,0.1,1.861139116,7.482333,-302%
2.7,0.2,3.731356961,7.86509,-111%
2.7,0.3,5.611290281,8.344095,-49%
2.7,0.4,7.500192804,8.919348,-19%
2.7,0.5,9.396257675,9.590849,-2%
2.7,0.6,11.29691402,10.358598,8%
2.7,0.7,13.19755117,11.222595,15%
2.8,0.1,1.857760249,7.974178,-329%
2.8,0.2,3.723977676,8.24738,-121%
2.8,0.3,5.599244057,8.61683,-54%
2.8,0.4,7.483279494,9.082528,-21%
2.8,0.5,9.374455523,9.644474,-3%
2.8,0.6,11.27075702,10.302668,9%
2.8,0.7,13.16810467,11.05711,16%
2.9,0.1,1.854709968,8.478515,-357%
2.9,0.2,3.717329349,8.642162,-132%
2.9,0.3,5.588386424,8.902057,-59%
2.9,0.4,7.467798967,9.2582,-24%
2.9,0.5,9.354327994,9.710591,-4%
2.9,0.6,10.73970728,10.25923,4%
2,0.7,13.43894216,12.730766,5%
2,0.8,15.33537631,14.457896,6%
2,0.9,17.21313293,16.281274,5%
2,1,19.07236849,18.2009,5%
2,1.1,20.91527715,20.216774,3%
2,1.2,22.74466637,22.328896,2%
2.1,0.7,13.4020216,12.477837,7%
2.1,0.8,15.30041674,14.095412,8%
2.1,0.9,17.18097804,15.809235,8%
2.1,1,19.04283231,17.619306,7%
2.1,1.1,20.88779743,19.525625,7%
2.1,1.2,22.7174137,21.528192,5%
2.2,0.7,13.36542779,12.2374,8%
2.2,0.8,15.26483711,13.74542,10%
2.2,0.9,17.14784281,15.349688,10%
2.2,1,19.01250594,17.050204,10%
2.2,1.1,20.85919195,18.846968,10%
2.2,1.2,22.68950545,20.73998,9%
2.3,0.7,13.32959661,12.009455,10%
2.3,0.8,15.22950769,13.40792,12%
2.3,0.9,17.11429342,14.902633,13%
2.3,1,18.98099908,16.493594,13%
2.3,1.1,20.82967569,18.180803,13%
2.3,1.2,22.66107089,19.96426,12%
2.4,0.7,13.29459263,11.794002,11%
2.4,0.8,15.19439758,13.082912,14%
2.4,0.9,17.08050453,14.46807,15%
2.4,1,18.94935713,15.949476,16%
2.4,1.1,20.79963119,17.52713,16%
2.4,1.2,22.63191056,19.201032,15%
2.5,0.7,13.26090264,11.591041,13%
2.5,0.8,15.159936,12.770396,16%
2.5,0.9,17.04679166,14.045999,18%
2.5,1,18.91711932,15.41785,18%
2.5,1.1,20.7688765,16.885949,19%
2.5,1.2,22.60238135,18.450296,18%
